pair	err_p0n0	err_p0n1	err_p1n0	err_p1n1
pe	0.0018	0.0041	0.0142	0.0093
pf	0.0025	0.0060	0.0203	0.0133
pg	0.0025	0.0060	0.0203	0.0133
ph	0.0042	0.0099	0.0333	0.0219
pi	0.0029	0.0069	0.0234	0.0154
pj	0.0042	0.0099	0.0333	0.0219
pk	0.0042	0.0099	0.0333	0.0219
pl	0.0070	0.0165	0.0547	0.0363
pm	0.0065	0.0153	0.0510	0.0338
pn	0.0065	0.0153	0.0510	0.0338
po	0.0049	0.0115	0.0387	0.0255
pp	0.0003	0.0007	0.0024	0.0016
pq	0.0022	0.0053	0.0180	0.0118
pr	0.0018	0.0041	0.0142	0.0093
ps	0.0025	0.0060	0.0203	0.0133
pt	0.0018	0.0041	0.0142	0.0093
pu	0.0029	0.0069	0.0234	0.0154
pv	0.0039	0.0093	0.0313	0.0206
pw	0.0018	0.0041	0.0142	0.0093
px	0.0039	0.0093	0.0313	0.0206
py	0.0029	0.0069	0.0234	0.0154
pz	0.0050	0.0117	0.0394	0.0260
p;	0.0057	0.0135	0.0452	0.0299
p,	0.0065	0.0153	0.0510	0.0338
p.	0.0109	0.0255	0.0828	0.0555
p/	0.0089	0.0209	0.0688	0.0459
qa	0.0073	0.0171	0.0567	0.0377
qb	0.0065	0.0153	0.0510	0.0338
qc	0.0065	0.0153	0.0510	0.0338
qd	0.0042	0.0099	0.0333	0.0219
qe	0.0029	0.0069	0.0234	0.0154
qf	0.0042	0.0099	0.0333	0.0219
qg	0.0042	0.0099	0.0333	0.0219
qh	0.0025	0.0060	0.0203	0.0133
qi	0.0018	0.0041	0.0142	0.0093
qj	0.0025	0.0060	0.0203	0.0133
qk	0.0025	0.0060	0.0203	0.0133
ql	0.0025	0.0060	0.0203	0.0133
qm	0.0039	0.0093	0.0313	0.0206
qn	0.0039	0.0093	0.0313	0.0206
qo	0.0018	0.0041	0.0142	0.0093
qp	0.0018	0.0041	0.0142	0.0093
qq	0.0004	0.0009	0.0031	0.0020
qr	0.0029	0.0069	0.0234	0.0154
qs	0.0070	0.0165	0.0547	0.0363
qt	0.0029	0.0069	0.0234	0.0154
qu	0.0018	0.0041	0.0142	0.0093
qv	0.0065	0.0153	0.0510	0.0338
qw	0.0049	0.0115	0.0387	0.0255
qx	0.0109	0.0255	0.0828	0.0555
qy	0.0018	0.0041	0.0142	0.0093
qz	0.0113	0.0265	0.0858	0.0576
q;	0.0025	0.0060	0.0203	0.0133
q,	0.0039	0.0093	0.0313	0.0206
q.	0.0039	0.0093	0.0313	0.0206
q/	0.0039	0.0093	0.0313	0.0206
ra	0.0053	0.0125	0.0419	0.0277
rb	0.0099	0.0232	0.0759	0.0508
rc	0.0065	0.0153	0.0510	0.0338
rd	0.0042	0.0099	0.0333	0.0219
re	0.0029	0.0069	0.0234	0.0154
rf	0.0057	0.0135	0.0452	0.0299
rg	0.0064	0.0150	0.0500	0.0331
rh	0.0025	0.0060	0.0203	0.0133
ri	0.0018	0.0041	0.0142	0.0093
rj	0.0025	0.0060	0.0203	0.0133
rk	0.0025	0.0060	0.0203	0.0133
rl	0.0025	0.0060	0.0203	0.0133
rm	0.0039	0.0093	0.0313	0.0206
rn	0.0039	0.0093	0.0313	0.0206
ro	0.0018	0.0041	0.0142	0.0093
rp	0.0018	0.0041	0.0142	0.0093
rq	0.0037	0.0087	0.0295	0.0194
rr	0.0003	0.0007	0.0024	0.0016
rs	0.0042	0.0099	0.0333	0.0219
rt	0.0045	0.0105	0.0353	0.0233
ru	0.0018	0.0041	0.0142	0.0093
rv	0.0089	0.0209	0.0688	0.0459
rw	0.0029	0.0069	0.0234	0.0154
